index,degradation,predicted_iou,model_runtime_sec,e2e_runtime_sec,fps_e2e,input_scale,iou,dice,precision,recall,boundary_f1
244,bright,0.8824718594551086,0.028040395999994416,0.09739648800001532,10.26731066524537,3.855421686746988,0.7092780007913414,0.8299153215134907,0.7179854056372248,0.9831889964336442,0.13143776324335837
756,original,0.5883448719978333,0.02817817400000422,0.08515952699997342,11.742667382362423,12.427184466019417,0.43218085106347054,0.6035283194054065,0.999999999998077,0.43218085106347054,0.0
756,blur,0.8486512303352356,0.02809907400001066,0.07871498800000154,12.704060883550925,12.427184466019417,0.43218085106347054,0.6035283194054065,0.999999999998077,0.43218085106347054,0.0
756,lowres,0.8740833401679993,0.02799826000000394,0.07291761999999835,13.714106412140476,12.427184466019417,0.43218085106347054,0.6035283194054065,0.999999999998077,0.43218085106347054,0.0
756,dark,0.8230835795402527,0.028097005999995872,0.07250466599998617,13.79221580029333,12.427184466019417,0.43218085106347054,0.6035283194054065,0.999999999998077,0.43218085106347054,0.0
756,bright,0.5614162683486938,0.02793381000003592,0.07213847399998485,13.862228358201893,12.427184466019417,0.432097739361343,0.6034472752593562,0.9999999999980765,0.432097739361343,0.0
3062,original,0.868719756603241,0.028142534999972213,0.07361159099997394,13.584817097627383,2.622950819672131,0.6183427848720479,0.7641678767343919,0.9413671879851255,0.6431111299698186,0.07039450237292096
3062,blur,0.8667258620262146,0.02921920799997224,0.07879770699997835,12.690724617155102,2.622950819672131,0.6183371131160678,0.7641635455365353,0.9410632697654772,0.6432469130563379,0.08469340107540858
3062,lowres,0.854179859161377,0.028176244000007955,0.07260487199999943,13.773180400345693,2.622950819672131,0.6173276964557223,0.7633922275721355,0.9389441601723466,0.6431450757414484,0.06616170068988586
3062,dark,0.8425055146217346,0.029256906000000527,0.07586678800004165,13.180998251823327,2.622950819672131,0.6208743948292725,0.7660980971874376,0.9470448581780648,0.6432044808418006,0.09522750971911129
3062,bright,0.8020864129066467,0.028035564999981943,0.07116332800001146,14.05218148313467,2.622950819672131,0.6109354118418033,0.7584852966182088,0.9654231596619753,0.62460219798866,0.05006728143941657
1635,original,0.8062297701835632,0.028172040000015386,0.07929431000002296,12.611245371826938,3.1920199501246884,0.026593171389613916,0.051808588116005,0.9999999999944874,0.026593171389613916,0.0
1635,blur,0.7655166387557983,0.02807168399999682,0.07695435299996234,12.994716491222912,3.1920199501246884,0.024833975928338466,0.0484643884017268,0.9999999999940968,0.024833975928338466,0.0
1635,lowres,0.7972702980041504,0.02791420199997674,0.07737937600001032,12.923340193385206,3.1920199501246884,0.025669593772444304,0.050054313647011316,0.999999999994289,0.025669593772444304,0.0
