index,model,model_score,runtime_sec,fps,input_scale,iou,dice,precision,recall,boundary_f1
1721,SAM-ViT-B,0.9510836601257324,0.4347094989999505,2.30038681533415,3.0843373493975905,0.4976902225784565,0.6646103647810722,0.4976902225784565,0.9999999999996164,0.001960779606922102
3143,STT-B,0.8820680379867554,0.06889274300010584,14.515316947076178,3.8208955223880596,0.6843263952422564,0.8125816910253073,0.8067071115602269,0.8185424575080132,0.2628784927135347
3143,SAM-ViT-B,0.9765515923500061,0.4381406769999785,2.282371969768169,3.8208955223880596,0.741672797381785,0.8516786832713056,0.7417668848630584,0.9998290072155536,0.0748479611490411
2614,STT-B,0.7790833711624146,0.07734557399999176,12.928988024577936,3.2569974554707377,0.6270154692033441,0.7707553874830181,0.9686694193981683,0.6399946552049796,0.1600531067165487
2614,SAM-ViT-B,0.9608694911003113,0.4334591699999919,2.3070223661435487,3.2569974554707377,0.9245140987170613,0.9607766441756597,0.938048309588622,0.9846337145210302,0.261297757384191
1187,STT-B,0.8490948677062988,0.11132809599996563,8.982458480205292,3.4133333333333336,0.7596028800708092,0.863379900856086,0.7596510705786647,0.9999164926926931,0.0900450175105064
1187,SAM-ViT-B,0.9806799292564392,0.4695040029999973,2.129907292824521,3.4133333333333336,0.7278900821223222,0.8425189653595023,0.7493090554378965,0.962212943632166,0.07107022924063733
801,STT-B,0.5890777707099915,0.08235773899991727,12.142149749897875,3.054892601431981,0.05315605859556463,0.10094621430835397,0.9999999999983469,0.05315605859556463,0.0
801,SAM-ViT-B,0.8798344135284424,0.42754272700005913,2.3389475176357326,3.054892601431981,0.841952740176839,0.9141958116645341,0.8583318548915191,0.9778377285867837,0.09392665165968983
316,STT-B,0.7386400699615479,0.07141201000001729,14.003246792797988,3.8323353293413174,0.03669884337766906,0.07079942957802583,0.9999999999881517,0.03669884337766906,0.0
316,SAM-ViT-B,0.8426758050918579,0.4341514059999554,2.3033439168456886,3.8323353293413174,0.03639446908425237,0.07023285084956146,0.9999999999880526,0.03639446908425237,0.0
2518,STT-B,0.8562727570533752,0.05988165500002651,16.69960524637399,2.7467811158798283,0.8701035885310395,0.9305405260619847,0.8779136763367151,0.9898791885113984,0.18766324638695026
2518,SAM-ViT-B,0.9982513189315796,0.43360468599996693,2.306248138656131,2.7467811158798283,0.8543809213320239,0.9214729417279723,0.8651241422082643,0.9856735810347634,0.1521042294977337
2278,STT-B,0.6071679592132568,0.07250402299996495,13.792338116196442,3.4133333333333336,0.8731624219224646,0.9322869300637798,0.8752608833138241,0.9972617217522586,0.1930317872521533
2278,SAM-ViT-B,0.9948469996452332,0.4408057260000078,2.268573072029428,3.4133333333333336,0.8577316188590386,0.9234182269943071,0.857873042044341,0.9998078401227423,0.1220025191907656
2904,STT-B,0.7855349779129028,0.06988365799998064,14.309497078705826,3.843843843843844,0.02681403718402441,0.05222764047433611,0.999999999994695,0.02681403718402441,0.0
2904,SAM-ViT-B,0.8968847990036011,0.43487694700002066,2.2995010586292413,3.843843843843844,0.03139447218309913,0.06087772046450489,0.999999999995469,0.03139447218309913,0.0
824,STT-B,0.6494414210319519,0.06763277100003506,14.785731609303449,3.4594594594594597,0.003694830431773019,0.007362457830301992,0.9999999999711815,0.003694830431773019,0.0
824,SAM-ViT-B,0.8258712291717529,0.43876530499994715,2.279122776127708,3.4594594594594597,0.0037480700633547625,0.007468148981084848,0.9999999999715908,0.0037480700633547625,0.0
2565,STT-B,0.8025109171867371,0.10670995599991784,9.371196816919031,3.843843843843844,0.8252400166967093,0.9042536972098778,0.9053705245627387,0.9031396218055728,0.10903158807263616
2565,SAM-ViT-B,0.9868627786636353,0.4640394369999967,2.1549892536396795,3.843843843843844,0.8693016079649877,0.9300816992409817,0.8705503180714278,0.9983526675709463,0.05128307710544366
668,STT-B,0.44063594937324524,0.09491970900000979,10.53521982457718,3.4133333333333336,0.004587245126051162,0.009132596791980124,0.9999999999576271,0.004587245126051162,0.0
668,SAM-ViT-B,0.9184166789054871,0.44887248399993496,2.2278041885947832,3.4133333333333336,0.6171837951357264,0.7632821909199599,0.8274898950904157,0.7083211849086034,0.138022413871499
174,STT-B,0.7779874801635742,0.12262329500003943,8.15505732413795,3.843843843843844,0.7331349610727411,0.8460217784989577,0.7785136129505867,0.9263494025544352,0.1833376496975487
174,SAM-ViT-B,0.9862202405929565,0.45728358600001684,2.186826797671157,3.843843843843844,0.72889387389876,0.843190996165728,0.7326889457548035,0.992943963741074,0.014716878447015155
165,STT-B,0.7172189950942993,0.10151660600001833,9.850605131536996,3.404255319148936,0.6312984134098903,0.7739827467744448,0.9052142857139625,0.6759834644617481,0.019628685606387364
165,SAM-ViT-B,0.9091300368309021,0.4468199430000368,2.238037974056851,3.404255319148936,0.8020331604296032,0.8901425101837739,0.8589177660944205,0.9237231630881655,0.08124282988318152
3000,STT-B,0.8676284551620483,0.07170094900004642,13.946816798747706,3.8323353293413174,0.6650519353483324,0.7988362659801386,0.6650519353483324,0.9999999999992996,0.019603673007731415
3000,SAM-ViT-B,0.995661199092865,0.429768480000007,2.326834206175343,3.8323353293413174,0.6637534284781443,0.7978987957191322,0.6637534284781443,0.9999999999992996,0.014776920291915496
818,STT-B,0.8799809813499451,0.07496136400004616,13.340205495718891,3.843843843843844,0.6113746886489427,0.7588237459054913,0.7451256753580989,0.773034887426509,0.062415505267959276
818,SAM-ViT-B,0.9954379796981812,0.435600642000054,2.2956807304243507,3.843843843843844,0.7134885588116268,0.8327905723589538,0.7137177736727018,0.9995500815475321,0.031684846646211996
2778,STT-B,0.8581028580665588,0.07043312400003288,14.197865197623965,3.843843843843844,0.8072525112133403,0.8933477820112398,0.8089389718913621,0.9974240886734066,0.16710182267488924
2778,SAM-ViT-B,0.9297645688056946,0.4282613699999729,2.3350226521716477,3.843843843843844,0.807544191918937,0.8935263608262066,0.8085395531112137,0.9984778705795806,0.059170651464334076
2273,STT-B,0.943179190158844,0.0644994140000108,15.504016827189043,3.4133333333333336,0.7558532660771355,0.8609526555323564,0.7558669318385906,0.9999760811325584,0.05642333124596502
