index,iou_delta_stt_minus_sam,dice_delta_stt_minus_sam,runtime_sec_delta_stt_minus_sam
2682,0.02840553980435656,0.01812456756591574,-0.3677087800000436
2705,0.3062597646077896,0.4411243265034308,-0.3756276279999611
2732,0.017354788793196185,0.012130585004762162,-0.3645380829999567
2756,-0.23455914417683643,-0.15812488753218257,-0.3692526820000239
2778,-0.00029168070559670856,-0.00017857881496685657,-0.35782824599994
2790,0.42007920043603736,0.31258876023821447,-0.3370691780000925
2796,-0.09317413885707548,-0.0585336647251522,-0.5149238499999456
2828,0.02879023327426944,0.016944527855074942,-0.3616719149999881
2882,0.017192491709056235,0.012895463216217817,-0.36975412100002814
2904,-0.0045804349990747235,-0.008650079990168778,-0.36499328900004
2916,0.2537455045852663,0.2139853974675754,-0.3654716809999172
2954,0.056003884126146875,0.033694443295649745,-0.3588469090000217
2969,-0.04104309161541708,-0.02480106645367186,-0.37156178700001874
2985,-0.027869227466938762,-0.016655403768014554,-0.36065131800000927
3000,0.0012985068701880653,0.0009374702610063235,-0.3580675309999606
3034,-0.021402266376030266,-0.012939653787034655,-0.3573397009998871
3046,-0.08309007570527993,-0.0662339228262484,-0.35402282800009743
3054,0.012216979997551891,0.007199944902633315,-0.37172439400001167
3097,0.013760248165965216,0.008499399779744121,-0.3790882469999133
3130,-0.03116102982399338,-0.018026303835407265,-0.36853929899996274
3137,0.028365967795920377,0.024859962345319175,-0.36033935899990865
3143,-0.057346402139528685,-0.039096992245998274,-0.36924793399987266
3185,0.32733130906796437,0.27209882540497043,-0.3584863089999999
3219,0.36861395440449507,0.26263095796557634,-0.34362469800009876
3347,0.31743012390831404,0.2252046639625701,-0.36421643599987874
3412,0.17831181801709783,0.12065434911457529,-0.3539950740000677
3468,-0.07556598314440255,-0.049807599686476633,-0.3608502979999457
3539,0.08188365657287078,0.048153802467987505,-0.3716164719999142
3563,-0.17057772712281505,-0.1064083929401125,-0.24374041099997612
3570,-0.0016411098005017465,-0.0031433731063707296,-0.3656569260000424
3668,-0.009685795785839169,-0.005754677267425401,-0.3726529450000271
