index,prompt_type,predicted_iou,model_runtime_sec,e2e_runtime_sec,fps_model,fps_e2e,input_scale,peak_gpu_mem_gb,iou,dice,precision,recall,boundary_f1,area_error_pct,perimeter_error_pct,occupancy_pct,failure,confident_failure
668,deepest_interior,0.44063594937324524,0.027970372999959636,0.0800497190000442,35.75211528289033,12.49223623132828,3.4133333333333336,0.39677953720092773,0.004587245126051162,0.009132596791980124,0.9999999999576271,0.004587245126051162,0.0,99.54127548737546,94.52923927252004,0.12586666666666665,True,False
966,deepest_interior,0.5347434878349304,0.02808938800001215,0.09706502500000624,35.60063323556809,10.302372043894653,3.843843843843844,0.3973054885864258,0.0047421233331427495,0.009439483471462659,0.99999999996,0.0047421233331427495,0.0,99.52578766666676,92.63065487547601,0.15015015015015015,True,False
2892,deepest_interior,0.41537120938301086,0.02987696499997128,0.13348453199995447,33.47060184998581,7.491504708578078,3.843843843843844,0.3973054885864258,0.005441961815943657,0.010825014317315439,0.999999999979253,0.005441961815943657,0.0,99.45580381839434,86.40506453400988,0.2894894894894895,True,False
3571,deepest_interior,0.8884338736534119,0.028658591000009892,0.1078923079999754,34.89355076806305,9.26850132819689,3.4133333333333336,0.39677953720092773,0.005916211293259612,0.011762831191781698,0.9999999999753695,0.005916211293259612,0.0,99.40837887065948,95.3583623630702,0.21653333333333333,True,True
1860,deepest_interior,0.4903584122657776,0.02824490099999366,0.08027174000000059,35.40462046583999,12.457684360647876,3.4133333333333336,0.39677953720092773,0.006933808874435442,0.013772124470000962,0.9999999999848714,0.006933808874435442,0.0,99.30661911254597,90.06946590090867,0.3525333333333333,True,False
992,deepest_interior,0.7957650423049927,0.028063452000026246,0.08534774000003154,35.63353503336171,11.716771879368224,5.663716814159292,0.39677953720092773,0.007119035402766085,0.014137425969550954,0.99999999990991,0.007119035402766085,0.0,99.28809645965926,96.49163504224711,0.16371681415929204,True,True
1539,deepest_interior,0.7072917222976685,0.02816594799998029,0.09546444799997289,35.50386445365517,10.475103778951134,3.843843843843844,0.3973054885864258,0.010127834622091145,0.020052580029893283,0.999999999974293,0.010127834622091145,0.0,98.98721653776485,94.5518285893021,0.23363363363363363,True,True
1940,deepest_interior,0.47015130519866943,0.028415967999990244,0.08847591199997851,35.19148107149977,11.302511354731703,3.4133333333333336,0.39677953720092773,0.010279116035029913,0.020349061703604492,0.9999999999905125,0.010279116035029913,0.0,98.97208839648727,94.31869008270031,0.5621333333333334,True,False
2908,deepest_interior,0.50564044713974,0.028072124000004806,0.0809803600000123,35.622527173213854,12.348673184459146,3.4133333333333336,0.39677953720092773,0.013587727644513398,0.026811152648996753,0.9999999999877149,0.013587727644513398,0.0,98.64122723553197,88.78417194880842,0.4341333333333333,True,False
1685,deepest_interior,0.6252297759056091,0.02806402000004482,0.08550732200001221,35.63281383060598,11.694904911182427,3.4133333333333336,0.39677953720092773,0.016631774831349682,0.032719368493294924,0.99999999997669,0.016631774831349682,0.0,98.33682251682626,91.1443315299196,0.2288,True,False
